partial_index,m,c,mech,rep,snp_num,N,q,sd,se,ci,index_nosnp,mean_q
0.01 0 dmi 1.11,0.01,0,dmi,17,1.11,150,0.64,0.343296299125535,0.0280300254481141,0.0553876996564367,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,20,1.11,150,0.48,0.351793105762101,0.0287237868048702,0.0567585812395582,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,6,1.11,150,0.63,0.33493463250863,0.0273472982277581,0.0540386216722461,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,15,1.11,150,0.593333333333333,0.344597161304933,0.0281362404002878,0.0555975818015996,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,16,1.11,150,0.576666666666667,0.326341663646809,0.0266456852581886,0.0526522251987391,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,3,1.11,150,0.44,0.351983831233289,0.0287393594743822,0.0567893530397258,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.11,0.01,0,dmi,9,1.11,150,0.31,0.325998723594487,0.0266176843201702,0.0525968949762271,0.01 0 dmi,0.520666666666667
0.01 0 dmi 1.12,0.01,0,dmi,19,1.12,150,0.49,0.349832174528831,0.0285636774401302,0.0564422030249606,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,8,1.12,150,0.503333333333333,0.364059266999404,0.0297253146760067,0.0587376135107471,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,12,1.12,150,0.516666666666667,0.354343455021158,0.0289320219498893,0.057170056630174,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,10,1.12,150,0.466666666666667,0.369412133510511,0.0301623743964549,0.0596012492777897,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,4,1.12,150,0.563333333333333,0.348999849361839,0.0284957183748233,0.0563079150163707,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,11,1.12,150,0.416666666666667,0.354343455021158,0.0289320219498893,0.057170056630174,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,1,1.12,150,0.66,0.329327156242734,0.0268894497078843,0.0531339069635901,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,20,1.12,150,0.47,0.353458464187859,0.0288597627509352,0.0570272715008315,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,9,1.12,150,0.306666666666667,0.331696203422127,0.0270828816000874,0.0535161309315688,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,5,1.12,150,0.54,0.377736103329281,0.030842023686132,0.0609442452303989,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,6,1.12,150,0.636666666666667,0.337264293365631,0.0275375142402043,0.0544144910194473,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,13,1.12,150,0.33,0.341875993060163,0.0279140579434894,0.0551585463391145,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,18,1.12,150,0.473333333333333,0.351347677033163,0.0286874177014476,0.0566867154119345,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,17,1.12,150,0.616666666666667,0.354343455021158,0.0289320219498893,0.057170056630174,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,14,1.12,150,0.63,0.33493463250863,0.0273472982277581,0.0540386216722461,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,15,1.12,150,0.6,0.35236497247244,0.0287704795262439,0.056850846672295,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,7,1.12,150,0.536666666666667,0.352824968806029,0.0288080380696054,0.0569250628489121,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,16,1.12,150,0.553333333333333,0.333512256230455,0.0272311616909658,0.0538091343451333,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,3,1.12,150,0.516666666666667,0.344743201122746,0.0281481645014801,0.0556211439826877,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.12,0.01,0,dmi,2,1.12,150,0.47,0.34867919526128,0.0284695370771466,0.0562561804271525,0.01 0 dmi,0.514833333333333
0.01 0 dmi 1.13,0.01,0,dmi,5,1.13,150,0.543333333333333,0.361469162249383,0.0295138335087431,0.058319723937401,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,12,1.13,150,0.536666666666667,0.352824968806029,0.0288080380696054,0.0569250628489121,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,20,1.13,150,0.44,0.33738035413418,0.0275469905622743,0.0544332163567337,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,8,1.13,150,0.516666666666667,0.363690381385464,0.0296951952917532,0.0586780972105582,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,1,1.13,150,0.686666666666667,0.309506354450422,0.0252710880184174,0.0499360029389361,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,13,1.13,150,0.336666666666667,0.330226008973002,0.0269628407259865,0.0532789285824839,0.01 0 dmi,0.512
